DD MM YYYY  HH MM   D(Deg)  H(nT)   Z(nT)   I(Deg)   F(nT),DD,MM,YYYY,HH,MM,D(Deg),H(nT),Z(nT),I(Deg),F(nT)
01 04 2026  00 00  -20.1186 25471.6 -05026.6 -11.1633 25962.9,1,4,2026,0,0,-201.186,25471.6,-05026.6,-111.633,25962.9
01 04 2026  00 01  -20.1187 25471.5 -05026.6 -11.1633 25962.7,1,4,2026,0,1,-201.187,25471.5,-05026.6,-111.633,25962.7
01 04 2026  00 02  -20.1186 25471.6 -05026.5 -11.1630 25962.8,1,4,2026,0,2,-201.186,25471.6,-05026.5,-111.630,25962.8
01 04 2026  00 03  -20.1185 25471.8 -05026.6 -11.1633 25963.0,1,4,2026,0,3,-201.185,25471.8,-05026.6,-111.633,25963.0
01 04 2026  00 04  -20.1183 25472.3 -05027.0 -11.1639 25963.6,1,4,2026,0,4,-201.183,25472.3,-05027.0,-111.639,25963.6
01 04 2026  00 05  -20.1181 25472.6 -05027.2 -11.1642 25963.9,1,4,2026,0,5,-201.181,25472.6,-05027.2,-111.642,25963.9
01 04 2026  00 06  -20.1180 25472.9 -05027.3 -11.1643 25964.2,1,4,2026,0,6,-201.180,25472.9,-05027.3,-111.643,25964.2
01 04 2026  00 07  -20.1180 25473.0 -05027.5 -11.1647 25964.4,1,4,2026,0,7,-201.180,25473.0,-05027.5,-111.647,25964.4
01 04 2026  00 08  -20.1180 25473.0 -05027.5 -11.1648 25964.4,1,4,2026,0,8,-201.180,25473.0,-05027.5,-111.648,25964.4
01 04 2026  00 09  -20.1182 25472.9 -05027.5 -11.1646 25964.3,1,4,2026,0,9,-201.182,25472.9,-05027.5,-111.646,25964.3
01 04 2026  00 10  -20.1183 25472.8 -05027.3 -11.1643 25964.1,1,4,2026,0,10,-201.183,25472.8,-05027.3,-111.643,25964.1
01 04 2026  00 11  -20.1185 25472.5 -05027.2 -11.1642 25963.8,1,4,2026,0,11,-201.185,25472.5,-05027.2,-111.642,25963.8
01 04 2026  00 12  -20.1185 25472.2 -05027.0 -11.1639 25963.5,1,4,2026,0,12,-201.185,25472.2,-05027.0,-111.639,25963.5
01 04 2026  00 13  -20.1186 25471.8 -05026.7 -11.1635 25963.1,1,4,2026,0,13,-201.186,25471.8,-05026.7,-111.635,25963.1
01 04 2026  00 14  -20.1185 25471.5 -05026.3 -11.1628 25962.7,1,4,2026,0,14,-201.185,25471.5,-05026.3,-111.628,25962.7
01 04 2026  00 15  -20.1185 25471.3 -05026.2 -11.1627 25962.5,1,4,2026,0,15,-201.185,25471.3,-05026.2,-111.627,25962.5
01 04 2026  00 16  -20.1186 25471.1 -05026.4 -11.1633 25962.3,1,4,2026,0,16,-201.186,25471.1,-05026.4,-111.633,25962.3
01 04 2026  00 17  -20.1186 25470.8 -05026.3 -11.1631 25962.0,1,4,2026,0,17,-201.186,25470.8,-05026.3,-111.631,25962.0
01 04 2026  00 18  -20.1185 25470.6 -05026.3 -11.1631 25961.8,1,4,2026,0,18,-201.185,25470.6,-05026.3,-111.631,25961.8
01 04 2026  00 19  -20.1184 25470.6 -05026.2 -11.1630 25961.7,1,4,2026,0,19,-201.184,25470.6,-05026.2,-111.630,25961.7
01 04 2026  00 20  -20.1183 25470.6 -05026.2 -11.1628 25961.8,1,4,2026,0,20,-201.183,25470.6,-05026.2,-111.628,25961.8
01 04 2026  00 21  -20.1181 25470.5 -05026.4 -11.1635 25961.7,1,4,2026,0,21,-201.181,25470.5,-05026.4,-111.635,25961.7
01 04 2026  00 22  -20.1180 25470.7 -05026.4 -11.1633 25961.9,1,4,2026,0,22,-201.180,25470.7,-05026.4,-111.633,25961.9
01 04 2026  00 23  -20.1179 25470.8 -05026.7 -11.1640 25962.0,1,4,2026,0,23,-201.179,25470.8,-05026.7,-111.640,25962.0
01 04 2026  00 24  -20.1179 25471.1 -05027.0 -11.1644 25962.4,1,4,2026,0,24,-201.179,25471.1,-05027.0,-111.644,25962.4
01 04 2026  00 25  -20.1179 25471.3 -05027.2 -11.1649 25962.6,1,4,2026,0,25,-201.179,25471.3,-05027.2,-111.649,25962.6
01 04 2026  00 26  -20.1180 25471.3 -05027.3 -11.1650 25962.6,1,4,2026,0,26,-201.180,25471.3,-05027.3,-111.650,25962.6
01 04 2026  00 27  -20.1179 25471.2 -05027.3 -11.1650 25962.6,1,4,2026,0,27,-201.179,25471.2,-05027.3,-111.650,25962.6
01 04 2026  00 28  -20.1179 25471.2 -05027.4 -11.1652 25962.6,1,4,2026,0,28,-201.179,25471.2,-05027.4,-111.652,25962.6
01 04 2026  00 29  -20.1178 25471.2 -05027.4 -11.1652 25962.6,1,4,2026,0,29,-201.178,25471.2,-05027.4,-111.652,25962.6
01 04 2026  00 30  -20.1177 25471.1 -05027.4 -11.1652 25962.5,1,4,2026,0,30,-201.177,25471.1,-05027.4,-111.652,25962.5
01 04 2026  00 31  -20.1176 25471.0 -05027.4 -11.1653 25962.4,1,4,2026,0,31,-201.176,25471.0,-05027.4,-111.653,25962.4
01 04 2026  00 32  -20.1176 25471.1 -05027.4 -11.1652 25962.5,1,4,2026,0,32,-201.176,25471.1,-05027.4,-111.652,25962.5
01 04 2026  00 33  -20.1175 25471.2 -05027.4 -11.1654 25962.6,1,4,2026,0,33,-201.175,25471.2,-05027.4,-111.654,25962.6
01 04 2026  00 34  -20.1173 25471.2 -05027.6 -11.1657 25962.7,1,4,2026,0,34,-201.173,25471.2,-05027.6,-111.657,25962.7
01 04 2026  00 35  -20.1173 25471.3 -05027.8 -11.1660 25962.8,1,4,2026,0,35,-201.173,25471.3,-05027.8,-111.660,25962.8
