,DATA,ESTACAO,SVID,S4,ZERO,AZ,EL,ROTI,TEC_R,S_N,DPR,DPC,MIN
3 0.188 0000   21   3 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),3,188,0,21,3,0.00,0.1,0.0,0.0,0.0,0
4 0.973 0000   66  28 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),4,973,0,66,28,0.00,0.1,0.0,0.0,0.0,0
5 0.113 0000  221   4 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),5,113,0,221,4,0.00,0.1,0.0,0.0,0.0,0
6 0.412 0000  316   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),6,412,0,316,5,0.00,0.1,0.0,0.0,0.0,0
7 0.035 0000  168  38 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),7,35,0,168,38,0.00,0.1,0.0,0.0,0.0,0
8 0.454 0000  118  20 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),8,454,0,118,20,0.00,0.1,0.0,0.0,0.0,0
9 0.077 0000   93  59 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),9,77,0,93,59,0.00,0.1,0.0,0.0,0.0,0
14 0.000 0000  300  58 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),14,0,0,300,58,0.00,0.1,0.0,0.0,0.0,0
17 0.506 0000  355  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),17,506,0,355,16,0.00,0.1,0.0,0.0,0.0,0
20 1.061 0000  246  25 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),20,1.061,0,246,25,0.00,0.1,0.0,0.0,0.0,0
21 0.638 0000  237  28 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),21,638,0,237,28,0.00,0.1,0.0,0.0,0.0,0
22 0.056 0000  315  40 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),22,56,0,315,40,0.00,0.1,0.0,0.0,0.0,0
30 0.032 0000  209  39 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),30,32,0,209,39,0.00,0.1,0.0,0.0,0.0,0
41 0.127 0000   41  34 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),41,127,0,41,34,0.00,0.1,0.0,0.0,0.0,0
42 0.006 0000  116  75 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),42,6,0,116,75,0.00,0.1,0.0,0.0,0.0,0
43 0.054 0000  199  34 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),43,54,0,199,34,0.00,0.1,0.0,0.0,0.0,0
52 0.024 0000  162  22 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),52,24,0,162,22,0.00,0.1,0.0,0.0,0.0,0
53 0.011 0000  223  53 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),53,11,0,223,53,0.00,0.1,0.0,0.0,0.0,0
72 0.033 0000  146  49 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),72,33,0,146,49,0.00,0.1,0.0,0.0,0.0,0
73 0.336 0000   81  37 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),73,336,0,81,37,0.00,0.1,0.0,0.0,0.0,0
77 0.513 0000  213  21 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),77,513,0,213,21,0.00,0.1,0.0,0.0,0.0,0
78 0.012 0000  160  56 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),78,12,0,160,56,0.00,0.1,0.0,0.0,0.0,0
83 0.219 0000  298   9 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),83,219,0,298,9,0.00,0.1,0.0,0.0,0.0,0
85 0.764 0000  347   9 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),85,764,0,347,9,0.00,0.1,0.0,0.0,0.0,0
97 0.500 0000  321  22 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),97,500,0,321,22,0.00,0.1,0.0,0.0,0.0,0
100 0.008 0000  313  74 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),100,8,0,313,74,0.00,0.1,0.0,0.0,0.0,0
121 0.186 0000   70  46 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),121,186,0,70,46,0.00,0.1,0.0,0.0,0.0,0
123 0.306 0000   83  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),123,306,0,83,16,0.00,0.1,0.0,0.0,0.0,0
131 0.163 0000  274   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),131,163,0,274,5,0.00,0.1,0.0,0.0,0.0,0
136 0.509 0000   76  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),136,509,0,76,35,0.00,0.1,0.0,0.0,0.0,0
160 0.013 0000  216  45 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),160,13,0,216,45,0.00,0.1,0.0,0.0,0.0,0
163 0.079 0000  142  17 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),163,79,0,142,17,0.00,0.1,0.0,0.0,0.0,0
167 0.427 0000   18  14 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),167,427,0,18,14,0.00,0.1,0.0,0.0,0.0,0
168 0.238 0000   59  14 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),168,238,0,59,14,0.00,0.1,0.0,0.0,0.0,0
172 0.013 0000   29  73 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),172,13,0,29,73,0.00,0.1,0.0,0.0,0.0,0
177 0.023 0000  189  52 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),177,23,0,189,52,0.00,0.1,0.0,0.0,0.0,0
223 0.546 0000   34  17 0.00  0.1  0.0 0.0 0.0 0,2026-01-01,Vitória da Conquista (BA),223,546,0,34,17,0.00,0.1,0.0,0.0,0.0,0
4 0.023 0000   64  27 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),4,23,0,64,27,0.00,0.1,0.0,0.0,0.0,0
5 0.231 0000  222   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),5,231,0,222,5,0.00,0.1,0.0,0.0,0.0,0
6 0.387 0000  318   4 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),6,387,0,318,4,0.00,0.1,0.0,0.0,0.0,0
7 0.049 0000  166  38 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),7,49,0,166,38,0.00,0.1,0.0,0.0,0.0,0
8 0.000 0000  119  20 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),8,0,0,119,20,0.00,0.1,0.0,0.0,0.0,0
9 0.031 0000   89  59 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),9,31,0,89,59,0.00,0.1,0.0,0.0,0.0,0
14 0.307 0000  297  60 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),14,307,0,297,60,0.00,0.1,0.0,0.0,0.0,0
17 0.567 0000  356  17 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),17,567,0,356,17,0.00,0.1,0.0,0.0,0.0,0
20 0.043 0000  248  25 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),20,43,0,248,25,0.00,0.1,0.0,0.0,0.0,0
21 0.036 0000  239  29 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),21,36,0,239,29,0.00,0.1,0.0,0.0,0.0,0
22 0.048 0000  313  42 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),22,48,0,313,42,0.00,0.1,0.0,0.0,0.0,0
30 0.046 0000  206  39 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),30,46,0,206,39,0.00,0.1,0.0,0.0,0.0,0
42 0.061 0000   38  29 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),42,61,0,38,29,0.00,0.1,0.0,0.0,0.0,0
43 0.740 0000   99  77 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),43,740,0,99,77,0.00,0.1,0.0,0.0,0.0,0
44 0.066 0000  200  30 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),44,66,0,200,30,0.00,0.1,0.0,0.0,0.0,0
46 0.049 0000  224  51 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),46,49,0,224,51,0.00,0.1,0.0,0.0,0.0,0
47 0.064 0000  287  31 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),47,64,0,287,31,0.00,0.1,0.0,0.0,0.0,0
53 0.059 0000  162  21 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),53,59,0,162,21,0.00,0.1,0.0,0.0,0.0,0
73 0.082 0000  222   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),73,82,0,222,5,0.00,0.1,0.0,0.0,0.0,0
74 0.810 0000   62  12 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),74,810,0,62,12,0.00,0.1,0.0,0.0,0.0,0
75 0.034 0000  190  46 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),75,34,0,190,46,0.00,0.1,0.0,0.0,0.0,0
76 0.034 0000   76  33 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),76,34,0,76,33,0.00,0.1,0.0,0.0,0.0,0
79 0.038 0000  100  51 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),79,38,0,100,51,0.00,0.1,0.0,0.0,0.0,0
95 0.945 0000  317  55 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),95,945,0,317,55,0.00,0.1,0.0,0.0,0.0,0
101 0.050 0000  144  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),101,50,0,144,16,0.00,0.1,0.0,0.0,0.0,0
104 0.342 0000  281   4 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),104,342,0,281,4,0.00,0.1,0.0,0.0,0.0,0
106 0.316 0000  329  10 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),106,316,0,329,10,0.00,0.1,0.0,0.0,0.0,0
121 0.031 0000   70  46 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),121,31,0,70,46,0.00,0.1,0.0,0.0,0.0,0
123 0.058 0000   83  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),123,58,0,83,16,0.00,0.1,0.0,0.0,0.0,0
136 0.045 0000   76  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),136,45,0,76,35,0.00,0.1,0.0,0.0,0.0,0
151 0.094 0000   84   7 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),151,94,0,84,7,0.00,0.1,0.0,0.0,0.0,0
163 0.116 0000  202  53 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),163,116,0,202,53,0.00,0.1,0.0,0.0,0.0,0
165 0.054 0000  147  24 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),165,54,0,147,24,0.00,0.1,0.0,0.0,0.0,0
168 1.124 0000    3  11 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),168,1.124,0,3,11,0.00,0.1,0.0,0.0,0.0,0
172 0.030 0000  217  43 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),172,30,0,217,43,0.00,0.1,0.0,0.0,0.0,0
173 0.035 0000   33  25 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),173,35,0,33,25,0.00,0.1,0.0,0.0,0.0,0
177 0.033 0000  272  33 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),177,33,0,272,33,0.00,0.1,0.0,0.0,0.0,0
223 0.688 0000   23  76 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),223,688,0,23,76,0.00,0.1,0.0,0.0,0.0,0
225 0.529 0000   59  17 0.00  0.1  0.0 0.0 0.0 0,2026-01-02,Vitória da Conquista (BA),225,529,0,59,17,0.00,0.1,0.0,0.0,0.0,0
4 0.000 0000   62  26 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),4,0,0,62,26,0.00,0.1,0.0,0.0,0.0,0
5 0.467 0000  224   6 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),5,467,0,224,6,0.00,0.1,0.0,0.0,0.0,0
6 0.300 0000  320   4 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),6,300,0,320,4,0.00,0.1,0.0,0.0,0.0,0
7 0.039 0000  164  37 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),7,39,0,164,37,0.00,0.1,0.0,0.0,0.0,0
8 0.000 0000  121  19 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),8,0,0,121,19,0.00,0.1,0.0,0.0,0.0,0
9 0.008 0000   85  58 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),9,8,0,85,58,0.00,0.1,0.0,0.0,0.0,0
14 0.014 0000  294  61 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),14,14,0,294,61,0.00,0.1,0.0,0.0,0.0,0
17 0.833 0000  357  19 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),17,833,0,357,19,0.00,0.1,0.0,0.0,0.0,0
19 0.443 0000  342   3 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),19,443,0,342,3,0.00,0.1,0.0,0.0,0.0,0
20 0.170 0000  250  26 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),20,170,0,250,26,0.00,0.1,0.0,0.0,0.0,0
